pesticide_category,product_name,product_key,raw_composition,parsed_component_count,parsed_substances,warning_codes,severity,automatic_fix_applied,requires_manual_review,notes
herbicides,Октапон экстра,октапон-экстра-068-116-03-605-1,"(500 г/л 2,4-Д (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Рапира,рапира-082-03-3604-1,"(564 г/л 2,4-Д (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эксифир,эксифир-085-03-3499-1,"(564 г/л 2,4-Д (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Прима Форте 195,прима-форте-195-009-03-2707-1,"(180 г/л 2,4-Д (2-этилгексиловый эфир) + 10 г/л Аминопиралид + 5 г/л флорасулам)",3,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 180.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""Аминопиралид"", ""concentration"": 10.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Прима Форте КА,прима-форте-ка-866-03-4615-0,"(180 г/л 2,4-Д (2-этилгексиловый эфир) + 10 г/л Аминопиралид + 5 г/л флорасулам)",3,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 180.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""Аминопиралид"", ""concentration"": 10.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Чисталан-супер,чисталан-супер-068-116-03-692-1,"(500 г/л 2,4-Д (2-этилгексиловый эфир) + 100 г/л дикамба (диметилалкиламинная соль))",2,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметилалкиламинная соль"", ""concentration"": 100.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Мушкет Плюс,мушкет-плюс-019-03-3480-1,"(285,2 г/л 2,4-Д (2-этилгексиловый эфир) + 5 г/л йодосульфурон-метил-нат рия + 25 г/л антидот мефенпир-диэтила)",3,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 285.2, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""йодосульфурон - метил - нат рия"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""мефенпир - диэтила"", ""concentration"": 25.0, ""unit"": ""г/л"", ""is_antidote"": true}]",,clean,no,no,clean
herbicides,Тимспрей,тимспрей-699-03-4318-1,"(300 г/л 2,4-Д (2-этилгексиловый эфир) + 6,25 г/л флорасулам) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",2,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам ) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Примавера,примавера-197-03-1383-1,"(300 г/л 2,4-Д (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аминопелик,аминопелик-156-03-1748-1,"(600 г/л 2,4-Д (диметиламинная соль))",1,"[{""name"": ""2,4 - Д ( диметиламинная соль"", ""concentration"": 600.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
