pesticide_category,product_name,product_key,raw_composition,current_parsed_substances,primary_category,warning_codes,root_cause,generic_fix_possible,source_data_corrupted,manual_review_required,action_taken,final_status,notes
herbicides,Фортиссимо,фортиссимо-018-03-4280-1,"(200 г/л 2,4-Д кислота(сложный 2-этилгексиловый эфир) + 10 г/л Аминопиралид + 5 г/л флорасулам))","[{""name"": ""2,4 - Д кислота ( сложный 2 - этилгексиловый эфир"", ""concentration"": 200.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""Аминопиралид"", ""concentration"": 10.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Илион,илион-018-03-1104-1,(90 г/л Клопиралид (2-этилгексиловый эфир),"[{""name"": ""Клопиралид ( 2 - этилгексиловый эфир"", ""concentration"": 90.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Репер,репер-018-03-4553-1,(100 г/л Клопиралид (2-этилгексиловый эфир),"[{""name"": ""Клопиралид ( 2 - этилгексиловый эфир"", ""concentration"": 100.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Репер Трио,репер-трио-018-03-3211-1,(267 г/л Клопиралид (сложный 2-этилгексиловый эфир),"[{""name"": ""Клопиралид ( сложный 2 - этилгексиловый эфир"", ""concentration"": 267.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Эфилон,эфилон-197-116-03-4439-1,(450 г/л Клопиралид(2-этилгексил овый эфир),"[{""name"": ""Клопиралид ( 2 - этилгексил овый эфир"", ""concentration"": 450.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Корнкордия,корнкордия-002-03-4435-0,"(75 г/л Мезотрион + 37,5 г/л никосульфурон + 96 г/л дикамба кислота (диметиламинная соль)","[{""name"": ""Мезотрион"", ""concentration"": 75.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""никосульфурон"", ""concentration"": 37.5, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба кислота ( диметиламинная соль"", ""concentration"": 96.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Агроксон,агроксон-024-03-1052-1,(750 г/л МЦПА (диметиламинная соль),"[{""name"": ""МЦПА ( диметиламинная соль"", ""concentration"": 750.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Дикопур М,дикопур-м-024-03-2471-1,(750 г/л МЦПА (диметиламинная соль),"[{""name"": ""МЦПА ( диметиламинная соль"", ""concentration"": 750.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Горгон,горгон-021-03-4837-0,(350 г/л МЦПА (диметиламинная соль),"[{""name"": ""МЦПА ( диметиламинная соль"", ""concentration"": 350.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Дикогерб Супер,дикогерб-супер-024-03-1318-1,(660 г/л МЦПА + 90 г/л дикамба (диметиламинные соли),"[{""name"": ""МЦПА"", ""concentration"": 660.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли"", ""concentration"": 90.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Горгон,горгон-021-03-1726-1,(350 г/л МЦПА + 150 г/л пиклорам (диметилэтаноламинные соли),"[{""name"": ""МЦПА"", ""concentration"": 350.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""пиклорам ( диметилэтаноламинные соли"", ""concentration"": 150.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,"МЦПА кислоты (калиевая, натриевая соль) Гербитокс-Л",мцпа-кислоты-калиевая-натриевая-соль-гербитокс-л-021-03-1848-1,"(300 г/л МЦПА кислоты (калиевая, натриевая соль)","[{""name"": ""МЦПА кислоты ( калиевая, натриевая соль"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,"МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей) Линтаплант",мцпа-кислоты-смесь-диметиламинной-калиевой-натриевой-солей-линтаплант-024-03-2819-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Линтаплант,линтаплант-024-03-2819-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Гербитокс,гербитокс-021-03-4449-0,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Агритокс,агритокс-024-03-2107-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Аметил,аметил-097-03-2421-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
