row_number / record_id,product_name,clean_product_name_candidate,registration_number,manufacturer,active_substances_raw,composition_found_in_product_name,composition_found_in_active_substances_raw,parsed_from_active_substances_raw_count,parsed_from_product_name_count,final_selected_composition_source,final_parsed_substance_count,parsed_substances_summary,repeated_fragment_warning,duplicated_substance_warning,empty_composition_warning,product_name_contains_composition_warning,inconsistent_duplicate_rows_warning,unresolved_concentration_warning,safe_auto_fix_possible,manual_review_required,suggested_action,notes
5,Респекта,Респекта,,,"(5 млрд/Мл Bacillus amyloliquefaciens + 0,5",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
6,млрд/Мл Pseudomonas aureofaciens),млрд/Мл Pseudomonas aureofaciens),283-02-3206-1,ООО СХП «НИВА» ОГРН 1149102116426,,,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
7,млрд/Мл Pseudomonas aureofaciens),млрд/Мл Pseudomonas aureofaciens),283-02-3206-1,ООО СХП «НИВА» ОГРН 1149102116426,,,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
8,БФТИМ КС-2,БФТИМ КС-2,430-02-1644-1,ООО «ПАРАДИГМА» ОГРН 1132311008004,(1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2 + 1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2),,,0,0,,0,,yes,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
9,БФТИМ КС-2,БФТИМ КС-2,430-02-1644-1,ООО «ПАРАДИГМА» ОГРН 1132311008004,(1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2 + 1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2),,,0,0,,0,,yes,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
10,БФТИМ КС-2,БФТИМ КС-2,430-02-1644-1,ООО «ПАРАДИГМА» ОГРН 1132311008004,(1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2 + 1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2),,,0,0,,0,,yes,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
11,Оргамика С,Оргамика С,222-02-1425-1,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(5×10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
12,Оргамика С,Оргамика С,222-02-1425-1,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(5×10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
13,Оргамика С+,Оргамика С+,173-02-4900-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(не менее 5×10⁹ КОЕ/см³ Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
14,Оргамика С+,Оргамика С+,173-02-4900-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(не менее 5×10⁹ КОЕ/см³ Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
