pesticide_category,active_substance_ru,current_result,resolved_system,resolved_group,resolved_group_name,possible_english_candidate,confidence,recommendation
herbicides,"2,4-Д (малолетучие эфиры С7-С9)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (2-этилгексиловый эфир и диметилалкиламинная соль)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (сложный 2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (диметиламинная соль)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (сложный 2-этилгексиловый эфир",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (сложный 2-этилгексиловый эфир)) Нуфарм ГмбХ & КО КГ",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д (диметиламинная соль)) Рейбоу Агросайенс Кфт.",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислота (2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислота",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислота (сложный 2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислота(сложный 2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислота (2-этилгексиловый эфир",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты (малолетучие эфиры С7-С9)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты (диметилалкиламинная соль)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты (2-этилгексиловый эфир)",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты (2-этилгексиловый эфир",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты (470 г/л 2,4-Д (2-этилгексиловый эфир))",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,"2,4-Д кислоты) РЕД СУРКОС С.А.",resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Азимсульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,Амидосульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,Амикарбазон,unknown,,,группа не определена,,low,needs manual review
herbicides,Аминопиралид,unknown,,,группа не определена,,low,needs manual review
herbicides,Ацифлуорфен,unknown,,,группа не определена,,low,needs manual review
herbicides,Ацифлуорфен) «БАСФ СЕ»,unknown,,,группа не определена,,low,needs manual review
herbicides,Бенсульфурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,Бентазон,unknown,,,группа не определена,bentazone,high,add alias
herbicides,Бентазон) «БАСФ СЕ»,unknown,,,группа не определена,,low,needs manual review
herbicides,Бентазон) «Шандонг Вейфанг Рейнбоу Кемикал Ко. Лтд.»,unknown,,,группа не определена,,low,needs manual review
herbicides,биоактиватор,unknown,,,группа не определена,,low,needs manual review
herbicides,Биспирибак натрия,unknown,,,группа не определена,,low,needs manual review
herbicides,"Биспирибак натрия) Кумиаи Кемикал Индастри Ко., Лтд.",unknown,,,группа не определена,,low,needs manual review
herbicides,бромоксинил (смесь эфиров октаноата и гептаноата,unknown,,,группа не определена,,low,needs manual review
herbicides,г/кг никосульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,г/кг римсульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,г/кг трибенурон-метил,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,г/кг флорасулама,unknown,,,группа не определена,,low,needs manual review
herbicides,г/л десмедифама,unknown,,,группа не определена,,low,needs manual review
herbicides,"г/л Имазамокс) Синокем Агро Ко., ЛТД (КНР",resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,г/л Пиноксаден,unknown,,,группа не определена,,low,needs manual review
herbicides,г/л Фенмедифама,unknown,,,группа не определена,,low,needs manual review
herbicides,г/л феноксапроп-П-этил,unknown,,,группа не определена,,low,needs manual review
herbicides,г/л хизалофоп-П-этил,resolved,HRAC,1,Inhibition of Acetyl CoA Carboxylase (ACCase),,high,already resolved
herbicides,Галоксифоп-П-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,"Галоксифоп-П-метил) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",unknown,,,группа не определена,,low,needs manual review
herbicides,Галоксифоп-П-метил) Рейбоу Агросайенс Кфт.,unknown,,,группа не определена,,low,needs manual review
herbicides,галоксифоп-Р-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,Глифосат кислоты (калиевая соль),resolved,HRAC,9,Inhibition of Enolpyruvyl Shikimate Phosphate Synthase (EPSPS),,high,already resolved
herbicides,Глифосат кислоты (аммонийная соль),resolved,HRAC,9,Inhibition of Enolpyruvyl Shikimate Phosphate Synthase (EPSPS),,high,already resolved
